newsapp3_class->fetch() : Rewriting menu files took 0.0106 seconds.
CURL operation (path=/English News/Regions/Asia, url=http://rss.cnn.com/rss/edition_asia.rss) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=http://asiancorrespondent.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=http://www.atimes.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=http://www.newmandala.org/feed) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=http://www.eastasiaforum.org/feed/) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=http://sea-globe.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=https://asianmilitaryreview.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Regions/Asia, url=http://www.vona.tv/feed) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://rss.cnn.com/rss/money_news_international.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://english.yonhapnews.co.kr/RSS/business.xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.ibtimes.com.au/rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.businessnews.com.au/rssfeed/latest.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=https://asia.nikkei.com/rss/feed/nar) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.campaignasia.com/RSS/rss.ashx?type=Category&ID=718) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.asiainsurancereview.com/desktopmodules/rssedaily) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.coinnewsasia.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.digitalmarket.asia/feed) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.financeasia.com/RSS/rss.ashx?type=Category&ID=46) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://tyre-asia.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.iaasiaonline.com/feed) 0 bytes retrieved
CURL operation (path=/English News/Topics/Business, url=http://www.intermet.asia/1/feed) 0 bytes retrieved
CURL operation (path=/English News/Topics/Careers, url=http://www.singingbasics.com/feed/) 0 bytes retrieved
CURL operation (path=/English News/Topics/Cybersecurity, url=https://hnrss.org/newcomments) 0 bytes retrieved
CURL operation (path=/English News/Topics/Entertainment, url=http://rss.cnn.com/rss/edition_entertainment.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Entertainment, url=http://feeds.feedburner.com/TheDailyPuppy) 0 bytes retrieved
CURL operation (path=/English News/Topics/Entertainment, url=http://feeds.feedburner.com/animals) 0 bytes retrieved
CURL operation (path=/English News/Topics/Lifestyle, url=http://feeds.foxnews.com/foxnews/section/lifestyle?format=xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Real Estate Business, url=http://feeds.feedburner.com/FrederickRealEstateOnline?format=xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Small Business, url=http://feeds.feedburner.com/ThePaySimpleBlog?format=xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Small Business, url=http://feeds.feedburner.com/YourSalesManagementGuru?format=xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=https://www.espn.com/espn/rss/action/news) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=http://rss.cnn.com/rss/edition_football.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=http://rss.cnn.com/rss/edition_golf.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=http://rss.cnn.com/rss/edition_motorsport.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=http://soccernet.espn.com/rss/news) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=http://rss.cnn.com/rss/edition_tennis.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Sports, url=http://english.yonhapnews.co.kr/RSS/culture.xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Stock Trading, url=http://feeds.feedburner.com/optimusfutures?format=xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Stock Trading, url=http://blog.commodityandderivativeadv.com/feed/) 0 bytes retrieved
CURL operation (path=/English News/Topics/Technology, url=http://rss.cnn.com/rss/edition_technology.rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Technology, url=http://rss.nytimes.com/services/xml/rss/nyt/Technology.xml) 0 bytes retrieved
CURL operation (path=/English News/Topics/Technology, url=http://feeds.pcworld.com/pcworld/latestnews) 0 bytes retrieved
CURL operation (path=/English News/Topics/Technology, url=http://www.techworld.com/news/rss) 0 bytes retrieved
CURL operation (path=/English News/Topics/Science, url=http://rss.cnn.com/rss/edition_space.rss) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/BB/news) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/QE/news) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/MSM/news) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/PEX/news) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/ISX/news) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/BDT/news) 0 bytes retrieved
CURL operation (path=/Arabic/Business, url=http://feeds.mubasher.info/en/CSE/news) 0 bytes retrieved
CURL operation (path=/Arabic/Middle East, url=http://ifpnews.com/feed) 0 bytes retrieved
Total records fetched : 10703
\e[1;32mDuplicates : 10577, New items : 126\e[0m
\e[42;1;4m nicerapp/apps/nicer.app/applications/2D/news/crontabEntry_manageDatabase.php : Done.\e[0m 
